Date,Signal,FX_name,Foreign_IR,Domestic_IR,FX_Rate,Equity,Asset Pos,Unreal_Return,Real_Return
2018-04-06,0.0033913852280449885,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-04-09,0.003404302980920837,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-04-10,0.0033983156007290414,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-04-11,0.003405370384821775,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-04-12,0.0034145609490758124,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-04-13,0.003415379739528572,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-04-16,0.003425957835433831,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-04-17,0.003431532136767799,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-04-18,0.0034347070463869,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-04-19,0.0034466425339353757,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-04-20,0.003449765552044536,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-04-23,0.0034545130075442046,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-04-24,0.00345716215846629,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-04-26,0.003459286535977171,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-04-27,0.0034687222816101966,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-04-30,0.003478387268944771,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-01,0.003508490719081327,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-02,0.0035066834545658364,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-03,0.003509555558729138,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-04,0.0035057677845187806,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-08,0.0035026393786218015,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-09,0.0035061448931178046,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-10,0.00351862175661039,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-11,0.003518835306563644,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-14,0.003521809597817366,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-15,0.0035196582551043957,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
2018-05-16,0.003523880907440665,USD,0.019943799999999998,-0.0004429,105.34,622523.7970883859,1245047.5941767718,0.04033049999999999,61.252379708838596
