Date,Signal,FX_name,Period,Foreign_IR,Domestic_IR,FX_Rate,Equity,Asset Pos,Unreal_Return,Real_Return,Drawdown
2011-04-01,6.20329044622725e-05,AUD,1M,0.048,0.0015,87.32,11142.684759425207,22285.369518850413,0.06403059141938285,0.11426847594252032,-0.18672716265758016
2011-04-04,6.20329044622725e-05,AUD,1M,0.048025000000000005,0.0015,87.10700000000001,11142.684759425207,22285.369518850413,0.05989534264353053,0.11426847594252032,-0.18672716265758016
2011-04-05,6.20329044622725e-05,AUD,1M,0.048049999999999995,0.0015,87.65799999999999,11142.684759425207,22285.369518850413,0.07307518347489074,0.11426847594252032,-0.18672716265758016
2011-04-06,6.20329044622725e-05,AUD,1M,0.048049999999999995,0.0015,89.258,11142.684759425207,22285.369518850413,0.11070952076633427,0.11426847594252032,-0.18672716265758016
2011-04-07,6.20329044622725e-05,AUD,1M,0.048049999999999995,0.0015,88.896,11142.684759425207,22285.369518850413,0.10228851254775843,0.11426847594252032,-0.18672716265758016
2011-04-08,6.20329044622725e-05,AUD,1M,0.048049999999999995,0.0015,89.542,11142.684759425207,22285.369518850413,0.11669411368571493,0.11426847594252032,-0.18672716265758016
2011-04-11,6.20329044622725e-05,AUD,1M,0.048049999999999995,0.0015,88.794,11142.684759425207,22285.369518850413,0.09966286110882043,0.11426847594252032,-0.18672716265758016
2011-04-12,6.20329044622725e-05,AUD,1M,0.048049999999999995,0.0014874999999999999,87.234,11142.684759425207,22285.369518850413,0.0627155464906135,0.11426847594252032,-0.18672716265758016
2011-04-13,6.20329044622725e-05,AUD,1M,0.048025000000000005,0.001475,88.08200000000002,11142.684759425207,22285.369518850413,0.08296053265146233,0.11426847594252032,-0.18672716265758016
2011-04-14,6.20329044622725e-05,AUD,1M,0.048049999999999995,0.0014874999999999999,88.03299999999999,11142.684759425207,22285.369518850413,0.0816864694998764,0.11426847594252032,-0.18672716265758016
2011-04-15,6.20329044622725e-05,AUD,1M,0.048075,0.001475,87.85799999999998,11142.684759425207,22285.369518850413,0.07688995396439276,0.11426847594252032,-0.18672716265758016
2011-04-18,6.20329044622725e-05,AUD,1M,0.0480875,0.0014688,86.86200000000002,11142.684759425207,22285.369518850413,0.053758435463565984,0.11426847594252032,-0.18672716265758016
2011-04-19,6.20329044622725e-05,AUD,1M,0.048049999999999995,0.0014562999999999998,86.927,11142.684759425207,22285.369518850413,0.055527173180368775,0.11426847594252032,-0.18672716265758016
2011-04-20,6.20329044622725e-05,AUD,1M,0.04801249999999999,0.0014562999999999998,88.449,11142.684759425207,22285.369518850413,0.09157014731423807,0.11426847594252032,-0.18672716265758016
2011-04-21,6.20329044622725e-05,AUD,1M,0.04801249999999999,0.0014562999999999998,87.969,11142.684759425207,22285.369518850413,0.08002677871917045,0.11426847594252032,-0.18672716265758016
2011-04-26,6.20329044622725e-05,AUD,1M,0.048,0.0014438,87.95100000000002,11142.684759425207,22285.369518850413,0.0795052649752423,0.11426847594252032,-0.18672716265758016
2011-04-27,6.20329044622725e-05,AUD,1M,0.048,0.0014438,89.291,11142.684759425207,22285.369518850413,0.1112731500958116,0.11426847594252032,-0.18672716265758016
2011-04-28,6.20329044622725e-05,AUD,1M,0.048,0.0014438,89.06299999999997,12325.898039583004,22285.369518850413,0,0.2325898039583001,-0.06840583464180039
